bronroute,bron_contentblok,doelroute,gevalideerd_fragment,anker_primair,anker_alternatief,reden_volgende_gebruikersvraag,bestandseigenaar,indexvoorwaarde,activatiestatus,qa_status
/over-ons/,#wie-wij-zijn,/erkende-verhuizer/,#wat,wat een Erkende Verhuizer is,het keurmerk uitgelegd,Wat betekent die erkenning voor mij?,T3 (_werk/paginas/over-ons.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #wat aanwezig in gebouwde HTML, 30-08-2026"
/over-ons/,#familie,/werkwijze/,#zo-werkt-het,zo verloopt een verhuizing bij ons,onze werkwijze,Hoe werken zij dan?,T3 (_werk/paginas/over-ons.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #zo-werkt-het aanwezig in gebouwde HTML, 30-08-2026"
/over-ons/,#familie,/vacatures/,#vac-start,werken bij De Kievit,onze vacatures,Kan ik hier werken?,T3 (_werk/paginas/over-ons.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #vac-start aanwezig in gebouwde HTML, 30-08-2026"
/over-ons/,#de-bresser,/certificeringen/,#niwo,op wiens naam de vergunning staat,onze certificeringen,Wie is de contractpartij eigenlijk?,T3 (_werk/paginas/over-ons.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #niwo aanwezig in gebouwde HTML, 30-08-2026"
/over-ons/,#de-bresser,/duurzaamheid/,#dz-bresser,wat De Bresser over 2025 rapporteert,onze duurzaamheid,Wat doet die organisatie aan milieu?,T3 (_werk/paginas/over-ons.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #dz-bresser aanwezig in gebouwde HTML, 30-08-2026"
/erkende-verhuizer/,#wat,/algemene-voorwaarden/,#avvv,de voorwaarden waar dat in staat,AVVV 2025 nalezen,Waar staan die regels precies?,T3 (_werk/paginas/erkende-verhuizer.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #avvv aanwezig in gebouwde HTML, 30-08-2026"
/erkende-verhuizer/,#eisen,/certificeringen/,#erkende-verhuizers,op wiens naam de erkenning staat,onze certificeringen,Staat die erkenning wel op dit bedrijf?,T3 (_werk/paginas/erkende-verhuizer.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #erkende-verhuizers aanwezig in gebouwde HTML, 30-08-2026"
/erkende-verhuizer/,#grens,/verzekering/,#basis,waarvoor u verzekerd bent,wat er gedekt is,Tot hoever gaat die garantie?,T3 (_werk/paginas/erkende-verhuizer.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #basis aanwezig in gebouwde HTML, 30-08-2026"
/erkende-verhuizer/,#grens,/klachtenregeling/,#melden,als er iets misgaat,hoe u een klacht meldt,En als er toch iets misgaat?,T3 (_werk/paginas/erkende-verhuizer.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #melden aanwezig in gebouwde HTML, 30-08-2026"
/certificeringen/,#erkende-verhuizers,/erkende-verhuizer/,#wat,wat het keurmerk inhoudt,de erkenning uitgelegd,Wat heb ik aan dat keurmerk?,T3 (_werk/paginas/certificeringen.html),doelroute is indexeerbaar,"ACTIEF, verplaatsen uit #niwo","GEVALIDEERD: doelfragment #wat aanwezig in gebouwde HTML, 30-08-2026"
/certificeringen/,#top-movers,/over-ons/,#de-bresser,hoe wij bij dit netwerk horen,over de organisatie,Bij wie hoort deze vestiging?,T3 (_werk/paginas/certificeringen.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #de-bresser aanwezig in gebouwde HTML, 30-08-2026"
/certificeringen/,#co2,/duurzaamheid/,#dz-koepel,wat wij in Venlo zelf doen,onze duurzaamheid,Wat merk ik daar als klant van?,T3 (_werk/paginas/certificeringen.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #dz-koepel aanwezig in gebouwde HTML, 30-08-2026"
/certificeringen/,#cert-vw-kop,/algemene-voorwaarden/,#avvv,de volledige voorwaarden,AVVV 2025 nalezen,Welke voorwaarden gelden voor mij?,T3 (_werk/paginas/certificeringen.html),doelroute is indexeerbaar,"ACTIEF, verplaatsen uit #niwo","GEVALIDEERD: doelfragment #avvv aanwezig in gebouwde HTML, 30-08-2026"
/certificeringen/,#cert-vw-kop,/algemene-voorwaarden/,#avbv,de bewaarnemingsvoorwaarden,AVBV 2025 nalezen,En als mijn spullen tijdelijk staan?,T3 (_werk/paginas/certificeringen.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #avbv aanwezig in gebouwde HTML, 30-08-2026"
/certificeringen/,#cert-vw-kop,/algemene-voorwaarden/,#avhd,de handymanvoorwaarden,AVHD 2025 nalezen,En bij montagewerk?,T3 (_werk/paginas/certificeringen.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #avhd aanwezig in gebouwde HTML, 30-08-2026"
/certificeringen/,#vca,/diensten/,#d-kantoorverhuizing,zakelijk verhuizen met De Kievit,wat wij zakelijk doen,Wat betekent VCA voor mijn bedrijfsverhuizing?,T3 (_werk/paginas/certificeringen.html),WIP: hubanker zolang de servicroute noindex is,"TE HERRICHTEN, wijst nu naar /kantoorverhuizing/","GEVALIDEERD: doelfragment #d-kantoorverhuizing aanwezig in gebouwde HTML, 30-08-2026"
/certificeringen/,#vca,/kantoorverhuizing/,(paginabreed),zakelijk verhuizen met De Kievit,onze kantoorverhuizing,Wat betekent VCA voor mijn bedrijfsverhuizing?,T3 (_werk/paginas/certificeringen.html),pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/verzekering/,#basis,/algemene-voorwaarden/,#avvv,het artikel waar dit in staat,AVVV 2025 nalezen,Waar staat dat zwart op wit?,T3 (_werk/paginas/verzekering.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #avvv aanwezig in gebouwde HTML, 30-08-2026"
/verzekering/,#bedragen,/erkende-verhuizer/,#z-ok,de acht zekerheden van een Erkende Verhuizer,wat de erkenning garandeert,Waar komen die bedragen vandaan?,T3 (_werk/paginas/verzekering.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #z-ok aanwezig in gebouwde HTML, 30-08-2026"
/verzekering/,#uitsluiting,/inpaktips/,#inpak-breekbaar,hoe u breekbaar zelf goed inpakt,onze inpaktips,Hoe voorkom ik dat ik buiten de dekking val?,T3 (_werk/paginas/verzekering.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #inpak-breekbaar aanwezig in gebouwde HTML, 30-08-2026"
/verzekering/,#opslag-zakelijk,/algemene-voorwaarden/,#avbv,de bewaarnemingsvoorwaarden AVBV 2025,de opslagvoorwaarden,Wat geldt er tijdens opslag?,T3 (_werk/paginas/verzekering.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #avbv aanwezig in gebouwde HTML, 30-08-2026"
/verzekering/,#afsluiter,/klachtenregeling/,#melden,er is toch iets misgegaan,hoe u schade meldt,Hoe meld ik dit?,T3 (_werk/paginas/verzekering.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #melden aanwezig in gebouwde HTML, 30-08-2026"
/klachtenregeling/,#melden,/verzekering/,#uitkering,op welke waarde wordt uitgekeerd,wat er vergoed wordt,Wat krijg ik dan vergoed?,T3 (_werk/paginas/klachtenregeling.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #uitkering aanwezig in gebouwde HTML, 30-08-2026"
/klachtenregeling/,#route,/algemene-voorwaarden/,#avvv,de meldtermijnen in de voorwaarden,AVVV 2025 nalezen,Hoelang heb ik om te melden?,T3 (_werk/paginas/klachtenregeling.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #avvv aanwezig in gebouwde HTML, 30-08-2026"
/klachtenregeling/,#garantie,/erkende-verhuizer/,#z-ok,het garantiecertificaat,wat de erkenning garandeert,Wat als jullie de uitspraak niet nakomen?,T3 (_werk/paginas/klachtenregeling.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #z-ok aanwezig in gebouwde HTML, 30-08-2026"
/klantervaringen/,#kev-vaak-kop,/werkwijze/,#zo-werkt-het,zo verloopt een verhuizing bij ons,onze werkwijze,Werkt dat bij mij ook zo?,T3 (_werk/paginas/klantervaringen.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #zo-werkt-het aanwezig in gebouwde HTML, 30-08-2026"
/klantervaringen/,#kev-hoe-kop,/over-ons/,#wie-wij-zijn,wie deze verhuizingen doet,over De Kievit,Wie zijn die mensen?,T3 (_werk/paginas/klantervaringen.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #wie-wij-zijn aanwezig in gebouwde HTML, 30-08-2026"
/klantervaringen/,#kev-faq-kop,/erkende-verhuizer/,#wat,waarom wij worden nagelopen,de erkenning uitgelegd,Wie controleert dit bedrijf?,T3 (_werk/paginas/klantervaringen.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #wat aanwezig in gebouwde HTML, 30-08-2026"
/klantervaringen/,#kev-slot-kop,/contact/,#contact-intro,even iemand spreken,neem contact op,Ik wil dit persoonlijk bespreken,T3 (_werk/paginas/klantervaringen.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026"
/duurzaamheid/,#dz-koepel,/certificeringen/,#co2,op wiens naam de CO2-ladder staat,onze certificeringen,Wie is er nu eigenlijk gecertificeerd?,T3 (_werk/paginas/duurzaamheid.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #co2 aanwezig in gebouwde HTML, 30-08-2026"
/duurzaamheid/,#dz-bresser,/over-ons/,#de-bresser,de organisatie waar wij bij horen,over De Bresser,Van wie zijn die cijfers?,T3 (_werk/paginas/duurzaamheid.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #de-bresser aanwezig in gebouwde HTML, 30-08-2026"
/duurzaamheid/,#dz-faq,/diensten/,#verhuisdiensten,herbruikbare dozen en kratten,onze verhuisdiensten,Hoe voorkom ik afval bij mijn verhuizing?,T3 (_werk/paginas/duurzaamheid.html),WIP: hubanker zolang de servicroute noindex is,TE PLAATSEN,"GEVALIDEERD: doelfragment #verhuisdiensten aanwezig in gebouwde HTML, 30-08-2026"
/contact/,#contact-intro,/diensten/,(paginabreed),onze verhuisdiensten,wat wij doen,Wat kunnen jullie precies voor mij doen?,T3 (_werk/paginas/contact.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/contact/,#contact-intro,/werkwijze/,#zo-werkt-het,hoe het daarna verloopt,onze werkwijze,Wat gebeurt er na mijn aanvraag?,T3 (_werk/paginas/contact.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #zo-werkt-het aanwezig in gebouwde HTML, 30-08-2026"
/contact/,#contact-faq,/veelgestelde-vragen/,(paginabreed),alle veelgestelde vragen,meer vragen en antwoorden,Mijn vraag staat er niet bij,T3 (_werk/paginas/contact.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/algemene-voorwaarden/,"#av-intro (nieuw, T3)",/verzekering/,#basis,verzekering en garantie,waarvoor u gedekt bent,Wat betekent dit voor mijn dekking?,T3 (_werk/paginas/algemene-voorwaarden.html),"alleen in de eigen intro, niet tussen de artikelen","ACTIEF, fragment toevoegen","DEELS GETOETST: doelfragment #basis aanwezig in gebouwde HTML, 30-08-2026; bronblok #av-intro moet nog door T3 geschreven worden, niet toetsbaar"
/algemene-voorwaarden/,"#av-intro (nieuw, T3)",/klachtenregeling/,#melden,klachtenregeling,hoe u een klacht meldt,En als ik het er niet mee eens ben?,T3 (_werk/paginas/algemene-voorwaarden.html),"alleen in de eigen intro, niet tussen de artikelen","ACTIEF, fragment toevoegen","DEELS GETOETST: doelfragment #melden aanwezig in gebouwde HTML, 30-08-2026; bronblok #av-intro moet nog door T3 geschreven worden, niet toetsbaar"
/algemene-voorwaarden/,"#av-intro (nieuw, T3)",/erkende-verhuizer/,#wat,waarom deze voorwaarden gelden,de erkenning uitgelegd,Waarom zijn dit jullie voorwaarden?,T3 (_werk/paginas/algemene-voorwaarden.html),"alleen in de eigen intro, niet tussen de artikelen",TE PLAATSEN,"DEELS GETOETST: doelfragment #wat aanwezig in gebouwde HTML, 30-08-2026; bronblok #av-intro moet nog door T3 geschreven worden, niet toetsbaar"
/algemene-voorwaarden/,"#av-intro (nieuw, T3)",/diensten/,#d-inboedelopslag,opslag van uw inboedel,onze verhuisdiensten,Welke voorwaarden gelden bij opslag?,T3 (_werk/paginas/algemene-voorwaarden.html),WIP: hubanker zolang de servicroute noindex is,"TE HERRICHTEN, wijst nu naar /inboedelopslag/","DEELS GETOETST: doelfragment #d-inboedelopslag aanwezig in gebouwde HTML, 30-08-2026; bronblok #av-intro moet nog door T3 geschreven worden, niet toetsbaar"
/algemene-voorwaarden/,"#av-intro (nieuw, T3)",/inboedelopslag/,(paginabreed),opslag van uw inboedel,onze inboedelopslag,Welke voorwaarden gelden bij opslag?,T3 (_werk/paginas/algemene-voorwaarden.html),pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026; bronblok #av-intro moet nog door T3 geschreven worden, niet toetsbaar"
/privacybeleid/,#cookies,/cookiebeleid/,#geen-cookies,cookiebeleid,wat deze site op uw apparaat zet,Zet deze site cookies?,T3 (_werk/paginas/privacybeleid.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #geen-cookies aanwezig in gebouwde HTML, 30-08-2026"
/privacybeleid/,#rechten,/toegankelijkheid/,#hulp,loopt u vast op de site,de toegankelijkheidsverklaring,Hoe doe ik dat als de site niet werkt voor mij?,T3 (_werk/paginas/privacybeleid.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #hulp aanwezig in gebouwde HTML, 30-08-2026"
/privacybeleid/,#wijzigingen,/contact/,#bedrijfsgegevens,onze contactgegevens,waar u ons bereikt,Bij wie moet ik zijn?,T3 (_werk/paginas/privacybeleid.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #bedrijfsgegevens aanwezig in gebouwde HTML, 30-08-2026"
/privacybeleid/,#delen,/diensten/,#d-inboedelopslag,inboedelopslag,onze verhuisdiensten,Wie krijgt mijn gegevens bij opslag?,T3 (_werk/paginas/privacybeleid.html),WIP: hubanker zolang de servicroute noindex is,"TE HERRICHTEN, wijst nu naar /inboedelopslag/","GEVALIDEERD: doelfragment #d-inboedelopslag aanwezig in gebouwde HTML, 30-08-2026"
/privacybeleid/,#delen,/inboedelopslag/,(paginabreed),inboedelopslag,onze inboedelopslag,Wie krijgt mijn gegevens bij opslag?,T3 (_werk/paginas/privacybeleid.html),pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/cookiebeleid/,#cookie-en-opslag,/privacybeleid/,#gegevens,privacybeleid,welke gegevens wij krijgen,En wat gebeurt er met mijn gegevens?,T3 (_werk/paginas/cookiebeleid.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #gegevens aanwezig in gebouwde HTML, 30-08-2026"
/cookiebeleid/,#vragen,/contact/,#contact-intro,contactpagina,neem contact op,Bij wie kan ik hierover terecht?,T3 (_werk/paginas/cookiebeleid.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026"
/disclaimer/,#actueel,/algemene-voorwaarden/,#avvv,algemene voorwaarden,AVVV 2025 nalezen,Wat geldt er dan wel?,T3 (_werk/paginas/disclaimer.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #avvv aanwezig in gebouwde HTML, 30-08-2026"
/disclaimer/,#rekenhulpen,/dozencalculator/,#aannames,waar dit getal vandaan komt,de dozencalculator,Hoe hard is die schatting?,T3 (_werk/paginas/disclaimer.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #aannames aanwezig in gebouwde HTML, 30-08-2026"
/disclaimer/,#rekenhulpen,/m3-calculator/,#m3-fout-kop,wat de calculator niet ziet,de m3-calculator,Hoe hard is die schatting?,T3 (_werk/paginas/disclaimer.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #m3-fout-kop aanwezig in gebouwde HTML, 30-08-2026"
/disclaimer/,#cijfers,/klantervaringen/,#kev-reviews-kop,klantervaringen,de beoordelingen zelf,Waar komen die cijfers vandaan?,T3 (_werk/paginas/disclaimer.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #kev-reviews-kop aanwezig in gebouwde HTML, 30-08-2026"
/toegankelijkheid/,#waarover,/privacybeleid/,#verantwoordelijke,privacybeleid,wie verantwoordelijk is,Wie is hier verantwoordelijk voor?,T3 (_werk/paginas/toegankelijkheid.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #verantwoordelijke aanwezig in gebouwde HTML, 30-08-2026"
/toegankelijkheid/,#hulp,/contact/,#contact-intro,de contactpagina,neem contact op,Bij wie meld ik dat ik vastloop?,T3 (_werk/paginas/toegankelijkheid.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026"
/sitemap/,#sm-diensten,/diensten/,(paginabreed),Onze verhuisdiensten,alle diensten,Welke pagina zoek ik?,T1 (_werk/navigatie.py),de elf noindex-services horen hier niet als bestemming zolang zij WIP zijn,TE HERRICHTEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/particulier-verhuizen/,#proces (nieuw),/werkwijze/,#zo-werkt-het,zo verloopt uw verhuisdag,onze werkwijze,Wat gebeurt er op de dag zelf?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #zo-werkt-het aanwezig in gebouwde HTML, 30-08-2026; bronblok #proces moet nog door T2 geschreven worden, niet toetsbaar"
/particulier-verhuizen/,#voorbereiding (nieuw),/verhuischecklist/,#checklist,wat u zelf moet regelen,de verhuischecklist,Wat blijft er bij mij liggen?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #checklist aanwezig in gebouwde HTML, 30-08-2026; bronblok #voorbereiding moet nog door T2 geschreven worden, niet toetsbaar"
/particulier-verhuizen/,#dekking (nieuw),/verzekering/,#basis,waarvoor u verzekerd bent,wat er gedekt is,Ben ik verzekerd?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #basis aanwezig in gebouwde HTML, 30-08-2026; bronblok #dekking moet nog door T2 geschreven worden, niet toetsbaar"
/particulier-verhuizen/,#vervolg (nieuw),/contact/,#contact-intro,even iemand spreken,neem contact op,Ik wil dit bespreken,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026; bronblok #vervolg moet nog door T2 geschreven worden, niet toetsbaar"
/kantoorverhuizing/,#draaiboek (nieuw),/werkwijze/,#zo-werkt-het,onze werkwijze,hoe wij het aanpakken,Hoe pakken jullie dit projectmatig aan?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #zo-werkt-het aanwezig in gebouwde HTML, 30-08-2026; bronblok #draaiboek moet nog door T2 geschreven worden, niet toetsbaar"
/kantoorverhuizing/,#milieu (nieuw),/duurzaamheid/,#dz-start,wat wij aan duurzaam verhuizen doen,onze duurzaamheid,Voldoen jullie aan onze inkoopcriteria?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #dz-start aanwezig in gebouwde HTML, 30-08-2026; bronblok #milieu moet nog door T2 geschreven worden, niet toetsbaar"
/kantoorverhuizing/,#voorwaarden (nieuw),/verzekering/,#opslag-zakelijk,hoe zakelijk werk verzekerd is,de zakelijke dekking,Wat is de aansprakelijkheidsgrens?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #opslag-zakelijk aanwezig in gebouwde HTML, 30-08-2026; bronblok #voorwaarden moet nog door T2 geschreven worden, niet toetsbaar"
/kantoorverhuizing/,#vervolg (nieuw),/contact/,#contact-intro,een projectgesprek inplannen,neem contact op,Met wie bespreek ik dit?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026; bronblok #vervolg moet nog door T2 geschreven worden, niet toetsbaar"
/internationale-verhuizing/,#voorwaarden (nieuw),/algemene-voorwaarden/,#avvvbe,de voorwaarden buiten Europa,AVVV-BE 2025,Welke voorwaarden gelden over de grens?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #avvvbe aanwezig in gebouwde HTML, 30-08-2026; bronblok #voorwaarden moet nog door T2 geschreven worden, niet toetsbaar"
/internationale-verhuizing/,#dekking (nieuw),/verzekering/,#bedragen,de dekking buiten Nederland,tot welk bedrag u gedekt bent,Ben ik in het buitenland net zo gedekt?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #bedragen aanwezig in gebouwde HTML, 30-08-2026; bronblok #dekking moet nog door T2 geschreven worden, niet toetsbaar"
/internationale-verhuizing/,#volume (nieuw),/m3-calculator/,#m3-intro-kop,schat uw volume,de m3-calculator,Hoeveel gaat er mee?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #m3-intro-kop aanwezig in gebouwde HTML, 30-08-2026; bronblok #volume moet nog door T2 geschreven worden, niet toetsbaar"
/internationale-verhuizing/,#vervolg (nieuw),/contact/,#contact-intro,uw bestemming doorgeven,neem contact op,Doen jullie mijn bestemming?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026; bronblok #vervolg moet nog door T2 geschreven worden, niet toetsbaar"
/inboedelopslag/,#voorwaarden (nieuw),/algemene-voorwaarden/,#avbv,de bewaarnemingsvoorwaarden,AVBV 2025,Onder welke voorwaarden staat het er?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #avbv aanwezig in gebouwde HTML, 30-08-2026; bronblok #voorwaarden moet nog door T2 geschreven worden, niet toetsbaar"
/inboedelopslag/,#dekking (nieuw),/verzekering/,#opslag-zakelijk,hoe uw inboedel tijdens opslag gedekt is,de opslagdekking,Is het verzekerd zolang het staat?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #opslag-zakelijk aanwezig in gebouwde HTML, 30-08-2026; bronblok #dekking moet nog door T2 geschreven worden, niet toetsbaar"
/inboedelopslag/,#capaciteit (nieuw),/m3-calculator/,#m3-intro-kop,schat uw volume,de m3-calculator,Hoeveel ruimte heb ik nodig?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #m3-intro-kop aanwezig in gebouwde HTML, 30-08-2026; bronblok #capaciteit moet nog door T2 geschreven worden, niet toetsbaar"
/inboedelopslag/,#vervolg (nieuw),/contact/,#contact-intro,uw periode doorgeven,neem contact op,Hoe regel ik dit?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026; bronblok #vervolg moet nog door T2 geschreven worden, niet toetsbaar"
/inpakservice/,#zelf-doen (nieuw),/inpaktips/,#inpak-start,zelf inpakken zonder schade,onze inpaktips,Wat als ik een deel zelf doe?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #inpak-start aanwezig in gebouwde HTML, 30-08-2026; bronblok #zelf-doen moet nog door T2 geschreven worden, niet toetsbaar"
/inpakservice/,#materiaal (nieuw),/dozencalculator/,#calc,hoeveel dozen er nodig zijn,de dozencalculator,Hoeveel dozen worden dat?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #calc aanwezig in gebouwde HTML, 30-08-2026; bronblok #materiaal moet nog door T2 geschreven worden, niet toetsbaar"
/inpakservice/,#planning (nieuw),/verhuischecklist/,#checklist,wanneer het inpakken moet beginnen,de verhuischecklist,Wanneer komen jullie inpakken?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #checklist aanwezig in gebouwde HTML, 30-08-2026; bronblok #planning moet nog door T2 geschreven worden, niet toetsbaar"
/inpakservice/,#vervolg (nieuw),/contact/,#contact-intro,uw wensen doorgeven,neem contact op,Hoe vraag ik dit aan?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026; bronblok #vervolg moet nog door T2 geschreven worden, niet toetsbaar"
/montage-demontage/,#voorwaarden (nieuw),/algemene-voorwaarden/,#avhd,de handymanvoorwaarden AVHD 2025,de montagevoorwaarden,Onder welke voorwaarden valt dit werk?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #avhd aanwezig in gebouwde HTML, 30-08-2026; bronblok #voorwaarden moet nog door T2 geschreven worden, niet toetsbaar"
/montage-demontage/,#proces (nieuw),/werkwijze/,#verhuisdag,hoe de verhuisdag verloopt,onze werkwijze,Wanneer op de dag gebeurt dit?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #verhuisdag aanwezig in gebouwde HTML, 30-08-2026; bronblok #proces moet nog door T2 geschreven worden, niet toetsbaar"
